#name	date-time UTC for 1581.804688 MHz	RA J2000	dec J2000	DM cm−3pc	width ms	peak flux Jy	notes
FRB 010724[2]	2001/07/24 19:50:01.63	01h18′	-75°12′	375	4.6	30	"Lorimer Burst"
FRB 010621[37]	2001/06/21 13:02:10.795	18h52′	-08°29′	746	7.8	0.4	
FRB 110220[5]	2011/02/20 01:55:48.957	22h34′	-12°24′	944.38	5.6	1.3	
FRB 110627[5]	2011/06/27 21:33:17.474	21h03′	-44°44′	723.0	<1.4	0.4	
FRB 110703[5]	2011/07/03 18:59:40.591	23h30′	-02°52′	1103.6	<4.3	0.5	
FRB 120127[5]	2012/01/27 08:11:21.723	23h15′	-18°25′	553.3	<1.1	0.5	
FRB 011025[38]	2001/10/25 00:29:13.23	19h07′	-40°37′	790	9.4	0.3	
FRB 121002[39]	2012/10/02 13:09:18.402	18h14′	-85°11′	1628.76	2.1; 3.7	0.35	double pulse 5.1 ms apart
FRB 121002[40]	2012/10/02 13:09:18.50	18h14'	-85°11'	1629.18	<0.3	>2.3	
FRB 121102[41]	2012/11/02 06:35:53.244	05h32′	33°05'	557	3.0	0.4	by Arecibo radio telescope
2015	05h32′~	33°05'~	557~			10 repeat bursts: 6 bursts in 10 minutes, 3 bursts weeks apart.[27][26]
FRB 131104[42]	2013/11/04 18:04:01.2	06h44′	-51°17′	779.0	<0.64	1.12	'near' Carina Dwarf Spheroidal Galaxy
FRB 140514[43]	2014/05/14 17:14:11.06	22h34′	-12°18′	562.7	2.8	0.47	21 ± 7 per cent (3σ) circular polarization
FRB 090625[40]	2009/06/25 21:53:52.85	03h07'	-29°55′	899.6	<1.9	>2.2	
FRB 130626[40]	2013/06/26 14:56:00.06	16h27'	-07°27'	952.4	<0.12	>1.5	
FRB 130628[40]	2013/06/28 03:58:00.02	09h03'	+03°26'	469.88	<0.05	>1.2	
FRB 130729[40]	2013/07/29 09:01:52.64	13h41'	-05°59'	861	<4	>3.5	
FRB 110523 [14][15][44]	2011/05/23	21h45'	-00°12'	623.30	1.73	0.6	700-900 MHz at Green Bank radio telescope, detection of both circular and linear polarization.
FRB 150418	2015/04/18 04h29'	07h16'	−19° 00′	776.2	0.8	2.4	Detection of linear polarization. The origin of the burst is disputed.[22][23][24][25]
