#column 1 is really column 2 in the paper's table
#(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
9.5	88	1.19 	9.62	5.59	0.11	3.54 	0.70 	4.32	0.28	3.90	6.92	10.6	0.45	2.02
17.2	84	0.62 	4.06	3.61	0.0	8.83 	0.09 	1.83	0.70	0.94	8.52	3.28	0.64	0.49
54.8	77	3.29 	36.0	8.28	0.0	0.0	1.07 	16.2	0.0	2.20	13.5	1.63	1.70	6.55
10.0	80	0.93 	7.66	6.54	0.12	2.30 	0.74 	3.45	0.18	12.2	8.24	11.3	0.38	0.85
12.1	83	0.10 	1.92	2.34	0.12	0.0	0.02 	0.86	0.0	0.77	5.14	1.28	0.17	0.52
7.5	86	1.22 	6.63	7.00	1.15	14.3 	0.78 	2.99	1.13	0.83	7.76	2.56	0.68	0.69
19.1	83	0.21 	2.53	1.46	0.14	6.40 	0.15 	1.14	0.51	2.62	12.4	1.63	0.05	0.58
20.2	80	2.64 	23.0	7.56	1.01	57.5 	1.42 	10.3	4.55	4.46	31.9	5.44	0.61	3.77
26.7	84	2.82 	25.7	8.05	0.0	23.4 	1.55 	11.6	1.85	3.26	24.6	6.09	0.97	4.39
3.6	82	2.10 	20.9	16.7	0.06	14.4 	5.15 	9.39	1.14	19.6	151	1.86	0.16	0.54
2.6	79	0.53 	7.93	3.42	0.11	4.90 	0.55 	3.57	0.39	2.74	18.3	10.6	0.60	0.41
22.1	58	3.04 	20.1	10.4	0.0	9.60 	3.70 	9.65	0.76	64.9	80.7	3.58	0.06	1.16
17.1	85	5.88 	21.3	6.94	0.76	9.00 	3.20 	9.60	0.71	33.6	13.7	14.1	1.10	2.74
3.6	85	0.002 	0.11	0.54	0.01	0.42 	0.007 	0.05	0.03	0.05	0.36	0.62	0.09	0.06
3.7	78	1.51 	12.5	5.05	0.0	2.40 	0.34 	5.62	0.19	4.50	27.1	5.24	0.09	1.69
5.2	75	0.03 	0.46	0.69	0.11	0.76 	0.07 	0.21	0.06	1.00	4.04	1.17	0.13	0.13
1.6	80	0.02 	0.95	0.79	0.09	2.00	0.31	0.12	0.16	0.11	1.12	5.65	0.16	0.05
17.5	72	0.82f	10.1	3.21	0.0	3.63	0.26	4.54	0.29	0.34	32.4	0.92	0.54	0.77
14.1	79	1.71 	9.92	8.05	0.62	7.60	2.00	4.46	0.60	2.85	6.96	3.97	0.93	1.70
16.0	79	0.10 	0.60	1.42	0.10	1.30	0.89	0.27	0.10	0.58	2.00	1.55	0.05	0.21
9.7	89	0.22 	1.60	7.47	0.07	1.20	0.26	0.72	0.09	0.09	0.80	16.5	1.30	1.19
7.5	90	0.02 	0.48	1.78	0.02	1.41	0.03	0.22	0.11	0.05	0.44	1.81	0.39	0.04
14.9	86	0.35 	4.32	2.74	0.01	5.57	0.05	1.89	0.44	0.14	1.63	15.4	1.38	2.56
