#Galaxy	d	i	$L_{\rm 1.4~GHz}$	$L_{\rm FIR}$	$L_{\rm B_{T}^{0}}$	$L_{\rm UV}$	$L_{\rm H\alpha}$	$L_{\rm X,soft}$	${\it SFR}_{\rm FIR}$	${\it SFR}_{\rm H\alpha }$	$\dot{E}_{\rm A}^{\rm tot}$	$L_{\rm FIR}/D_{25}^{2}$	$M_{\rm bar}$	$M_{H {\sc i}}$	$M_{\rm dust}$
# 	[Mpc]	$[\hbox{$^\circ$ }]$	[ $10^{38}~{\rm erg\ s^{-1}}$]	[  $10^{43}~{\rm erg\ s^{-1}}$]	[  $10^{40}~{\rm erg\ s^{-1}}$]	[  ${M}_{\odot}\ {\rm yr}^{-1}$]	[ $10^{-3}~{\rm erg~s^{-1} cm^{-2}}$]	[ $10^{40}~{\rm erg\ s^{-1}\ kpc^{-2}}$]	[  $10^{10}~{M}_{\odot}$]	[ $10^{6}~{M}_{\odot}$]
#(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
NGC 0891	9.5	88	1.19a	9.62	5.59	0.11	3.54h	0.70r	4.32	0.28	3.90u	6.92	10.6	0.45	2.02
NGC 3044	17.2	84	0.62b	4.06	3.61	--	8.83j	0.09r	1.83	0.70	0.94g	8.52	3.28	0.64	0.49
NGC 3221	54.8	77	3.29b	36.0	8.28	--	--	1.07r	16.2	--	2.20u	13.5	1.63	1.70	6.55
NGC 3628	10.0	80	0.93b	7.66	6.54	0.12	2.30k	0.74r	3.45	0.18	12.2u	8.24	11.3	0.38	0.85
NGC 3877	12.1	83	0.10b	1.92	2.34	0.12	--	0.02r	0.86	--	0.77u	5.14	1.28	0.17	0.52
NGC 4631	7.5	86	1.22b	6.63	7.00	1.15	14.3k	0.78r	2.99	1.13	0.83g	7.76	2.56	0.68	0.69
NGC 4634	19.1	83	0.21c	2.53	1.46	0.14	6.40j	0.15r	1.14	0.51	2.62u	12.4	1.63	0.05	0.58
NGC 4666	20.2	80	2.64b	23.0	7.56	1.01	57.5d	1.42r	10.3	4.55	4.46g	31.9	5.44	0.61	3.77
NGC 5775	26.7	84	2.82b	25.7	8.05	--	23.4l	1.55r	11.6	1.85	3.26g	24.6	6.09	0.97	4.39
M 82	3.6	82	2.10b	20.9	16.7	0.06	14.4h	5.15k	9.39	1.14	19.6$^{\ ~}$	151	1.86	0.16	0.54
NGC 0253	2.6	79	0.53b	7.93	3.42	0.11	4.90h	0.55k	3.57	0.39	2.74$^{\ ~}$	18.3	10.6	0.60	0.41
NGC 1482	22.1	58	3.04b	20.1	10.4	--	9.60k	3.70k	9.65	0.76	64.9$^{\ ~}$	80.7	3.58	0.06	1.16
NGC 3079	17.1	85	5.88b	21.3	6.94	0.76	9.00k	3.20k	9.60	0.71	33.6$^{\ ~}$	13.7	14.1	1.10	2.74
NGC 4244	3.6	85	0.002c	0.11	0.54	0.01	0.42k	0.007k	0.05	0.03	0.05g	0.36	0.62	0.09	0.06
NGC 4945	3.7	78	1.51c	12.5	5.05	--	2.40k	0.34k	5.62	0.19	4.50u	27.1	5.24	0.09	1.69
NGC 6503	5.2	75	0.03b	0.46	0.69	0.11	0.76k	0.07k	0.21	0.06	1.00$^{\ ~}$	4.04	1.17	0.13	0.13
NGC 0055	1.6	80	0.02a	0.95	0.79	0.09	2.00m	0.31s	0.12	0.16	0.11$^{\ }$	1.12	5.65	0.16	0.05
NGC 1511	17.5	72	0.82f	10.1	3.21	--	3.63n	0.26n	4.54	0.29	0.34n	32.4	0.92	0.54	0.77
NGC 3556	14.1	79	1.71b	9.92	8.05	0.62	7.60i	2.00t	4.46	0.60	2.85e	6.96	3.97	0.93	1.70
NGC 4522	16.0	79	0.10c	0.60	1.42	0.10	1.30o	0.89o	0.27	0.10	0.58$^{\ ~}$	2.00	1.55	0.05	0.21
NGC 4565	9.7	89	0.22b	1.60	7.47	0.07	1.20p	0.26p	0.72	0.09	0.09g	0.80	16.5	1.30	1.19
NGC 4656	7.5	90	0.02b	0.48	1.78	0.02	1.41v	0.03p	0.22	0.11	0.05g	0.44	1.81	0.39	0.04
NGC 5907	14.9	86	0.35b	4.32	2.74	0.01	5.57q	0.05p	1.89	0.44	0.14g	1.63	15.4	1.38	2.56
